case_id,keyset_size,f_evaluations_per_transcript,search_elapsed_seconds
0,60,60,100.6383072940007
1,60,60,134.19742660499833
2,60,60,134.23368305799886
3,60,60,153.90257181799825
4,60,60,188.72618211200097
5,60,60,165.06276336700103
6,60,60,283.4995691389995
7,60,60,279.46276122700147
8,60,60,289.0135249019986
9,60,60,355.5494469719997
10,60,60,287.3322250459969
11,60,60,258.37707832100205
12,60,60,288.4511985200006
13,60,60,245.58795064600054
14,60,60,206.7575962209994
15,60,60,270.3630085600016
